Month,Week,BU,Country,Global Category,SKU Code,SKU-Desc,Location Code,Location Desc,Total Inv ($K),Active Inv ($K),Blocked Inv ($K),Excess Inv ($K),IWND Inv ($K),Low Inv ($K),NPI Inv ($K),DIFC,Min Bnd Days,Max Bnd Days,RCA,Driver,DIOH Opp,Comments,Included in Provision,Timing of resolution (M),RCA Status
Jun-2022,202226,ANZ,New Zealand,GUM & CANDY,4282975,4282975 - 230G TNCC SNAKES 16CA,NZ55,CHRISTCHURCH DC,38,16,0,22,0,0,22,67,14,28,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,GUM & CANDY,4282974,4282974 - 220G TNCC PARTY MIX 16CA,NZ55,CHRISTCHURCH DC,38,16,0,22,0,0,22,65,14,28,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,4224708,4224708 - 150G CDM GIFT POUCH,NZ53,NZ ADC AUCKLAND,23,1,4,18,0,0,22,999,28,42,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,GUM & CANDY,617557,617557 - PASCALL FRUIT BURST 3X2KG NZ,NZ53,NZ ADC AUCKLAND,79,57,0,22,0,0,22,74,23,51,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,4266847,4266847 - CAD 144G CRMLK SHAREPACK 14CA,NZ53,NZ ADC AUCKLAND,37,15,2,19,0,0,21,67,15,43,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,CHOCOLATE,4259005,4259005 - CAD 11X340G CDM TOP DECK 4CA,NZ53,NZ ADC AUCKLAND,32,11,0,21,0,0,21,183,17,45,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4224842,4224842 - 120G TOBLERONE GIFT POUCH,AU51,AU VDC DANDENONG,99,78,8,13,0,0,21,54,14,42,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,BISCUITS,4276722,4276722 - OREO 67G OREO MINI CUP 12CA,AU81,AU AMBIENT DC -GROC,71,0,21,0,0,50,21,26,28,56,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,GUM & CANDY,4228651,4228651 - 170G PASCALL MILKSHAKES,NZ53,NZ ADC AUCKLAND,77,57,0,21,0,0,21,67,21,49,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,Australia,CHOCOLATE,4255635,4255635 - CAD 180G OLD GOLD CHERRY RIPE TABLET 60C,AU51,AU VDC DANDENONG,196,176,20,0,0,0,20,19,17,45,,Supply,Y,,,,RCA Missing
Jun-2022,202226,ANZ,New Zealand,GUM & CANDY,4269352,4269352 - 300G PASCALL PINEAPPLE LUMPS LARGE 12CA,NZ53,NZ ADC AUCKLAND,23,3,2,19,0,0,20,103,16,23,,Supply,Y,,,,RCA Missing
