Month,Week,BU,Country,Global Category,SKU Code,SKU-Desc,Location Code,Location Desc,Total Inv ($K),Active Inv ($K),Blocked Inv ($K),Excess Inv ($K),IWND Inv ($K),Low Inv ($K),NPI Inv ($K),DIFC,Min Bnd Days,Max Bnd Days,RCA,Driver,DIOH Opp,Comments,Included in Provision,Timing of resolution (M),RCA Status
Jan-2023,202304,ANZ,Australia,CHOCOLATE,649991,649991 - 168G CADBURY CDM TWIRL SHAREPACK,AU51,AU VDC DANDENONG,242.12962,0.0,18.84663,0.0,0.0,223.28299,18.84663,16.65053,17.0,150.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,CHOCOLATE,649999,649999 - 180G CADBURY MORO SHAREPACK,AU51,AU VDC DANDENONG,93.44722,93.44722,0.0,0.0,0.0,0.0,0.0,48.71492,22.0,50.0,,,,,,,Not applicable
Jan-2023,202304,ANZ,Australia,GUM & CANDY,650043,650043 - 220G SOUR PATCH KIDS,AU51,AU VDC DANDENONG,0.07383,0.0,0.07383,0.0,0.0,0.0,0.07383,0.0,7.0,21.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,650053,650053 - 220G TNCC CHEWS SMOOTHIE,AU51,AU VDC DANDENONG,0.01554,0.0,0.01554,0.0,0.0,0.0,0.01554,0.0,27.0,55.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,650076,650076 - 240G TNCC SOFT JELLIES FRUIT SALAD,AU51,AU VDC DANDENONG,1.15674,0.0,1.15674,0.0,0.0,0.0,1.15674,0.0,7.0,14.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,650118,650118 - 260G TNCC JELLY BABIES,AU51,AU VDC DANDENONG,0.02215,0.0,0.02215,0.0,0.0,0.0,0.02215,0.0,30.0,58.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,650128,650128 - 280G PASCALL MARSHMALLOWS VANRASP,AU51,AU VDC DANDENONG,225.79818,203.18708,0.8469,21.7642,0.0,0.0,22.6111,29.57982,18.0,25.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,650131,650131 - 300G CADBURY CLINKERS,AU51,AU VDC DANDENONG,91.78723,90.89737,0.0,0.88985,0.0,0.0,0.88985,36.39962,15.0,36.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,650138,650138 - 520G PASC MMALLOWS VANRASP,AU51,AU VDC DANDENONG,149.23961,0.0,0.10017,0.0,0.0,149.13944,0.10017,12.55743,15.0,22.0,,,,,,,RCA Missing
Jan-2023,202304,ANZ,Australia,GUM & CANDY,650152,650152 - 180G PASCALL MARSHMALLOW VANRASP NZ,AU51,AU VDC DANDENONG,69.61394,50.031,0.11012,19.47282,0.0,0.0,19.58293,29.57759,14.0,21.0,,,,,,,RCA Missing
